sample_id,System_A,System_B,System_C,System_D,System_E
GSM1602833,1823.9834110390336,1352.9223086183674,1006.2536354147514,861.8019374417245,435.38245644779454
GSM1602834,1793.2443023024025,1602.0398810717306,934.965032820146,1000.4179728784192,512.9129767324657
GSM1602835,1627.6611364766868,1670.5644126571424,884.8825910407713,765.5825651054602,549.6260285749177
GSM1602836,1691.070039641575,1624.8602172326491,796.7433115580761,718.5507154939542,705.363473328508
GSM1602837,1754.2935008682823,1629.8966488046954,861.3890591673062,849.2488680194001,599.5045947562494
GSM1602838,1731.5756555605767,1632.5724141531564,765.5451663467193,860.5975865418568,504.8572735696489
GSM1602839,1725.06192589075,1482.7028694021255,954.5289462213796,770.2329957665652,861.0824944953165
GSM1602840,1617.9730977640063,1583.9782233971946,742.0303703567861,742.8442045765005,786.3322571686012
GSM1602841,1730.7402680318582,1593.0013614539412,767.8973952445931,846.8156280700259,548.8586267644132
GSM1602842,1665.1880293731992,1524.916985302636,975.876720919855,784.1566939476506,839.4051509778246
GSM1602843,1726.6838710865925,1609.376385110434,880.519439623702,830.7671925803916,639.4944286923064
GSM1602844,1764.7799921859705,1355.681233842508,1005.8632532697466,760.0789385419239,655.4683910623089
GSM1602845,1760.107106624866,1477.2136360039758,869.2737815205737,962.1999808329474,388.19576393461193
GSM1602846,1671.3805672577528,1632.389622978917,837.7714536174826,768.3757405838678,541.0905057238215
GSM1602847,1699.192691188996,1604.6196702683965,919.7960697401058,819.2727641665051,821.4151315853151
GSM1602848,1789.210176664813,1587.735514193629,775.8048951861947,1019.9338599284074,551.6916460220064
GSM1602849,1728.2190836668433,1745.5114598212822,876.2362854819694,853.6700700691199,635.4428107067724
GSM1602850,1756.9510979453107,1545.9742940173574,895.2570376382237,921.210989907303,504.516652367347
GSM1602851,1723.3728002254056,1584.9529988140985,726.824246881315,903.504830129148,259.0438430724471
GSM1602852,1660.1191491684503,1524.6250568715895,893.8712406750446,802.8126167740938,1040.328151086088
GSM1602853,1807.718961567032,1637.9044817769054,926.7397467493412,956.6758099573926,638.854377546757
GSM1602854,1724.5061900899027,1577.838858896013,714.7589016660795,880.3331202203008,622.7655366132631
GSM1602855,1754.1914101072653,1465.8018819444933,1018.1508914477854,712.6654378715302,761.6387031529903
GSM1602856,1773.6585500444744,1691.9376504298334,882.6557709775725,931.768018946962,576.6065181674121
GSM1602857,1703.3842456453176,1590.7406191540567,815.2668312286014,1077.1545908100006,399.6576332228651
GSM1602858,1850.1078377638923,1611.8397671491248,919.7075831265038,960.2648326902064,530.6641134603669
GSM1602859,1811.109248269448,1600.5473776726512,1097.0963632535097,840.3296562108526,851.7484311378867
GSM1602860,1795.8476626213533,1631.537770707081,776.2377376681416,1027.4913241336071,476.7751893133436
GSM1602861,1769.6042640734686,1477.947698283402,959.7135850323702,837.285536448735,605.1808160049914
GSM1602862,1603.6457548657409,1570.267799771911,785.2877352709957,677.4685470898667,750.3038135474917
GSM1602863,1734.310917338391,1650.9516541886542,934.9380462569424,894.8027170217665,646.8740695877414
GSM1602864,1591.6360660378575,1567.5406223048622,771.3078367545486,641.4423574568773,797.2496907208142
GSM1602865,1711.647093564995,1546.6680673864785,768.7131724080737,838.7156160953919,618.7172161924791
GSM1602866,1661.83321756255,1672.6531963739162,715.0269172054295,782.885923514933,526.4745985029576
GSM1602867,1723.7632939852692,1610.042084088358,750.3598275344257,928.2923774156944,603.0227643259786
GSM1602868,1721.0195147334352,1635.5976655331824,898.1704517637681,787.2833329034329,608.2594646618209
GSM1602869,1844.5497167727108,1483.9411506699123,1084.0254021464189,980.7793276578968,602.237346189233
GSM1602870,1648.298607631279,1662.5575334842142,793.0452250620347,705.3203881270329,785.3279052323687
GSM1602871,1675.3528418560209,1632.176347278083,764.6132911523327,731.5154215594921,700.5691847155322
GSM1602872,1672.4823031558326,1625.784911111724,800.4419748346136,754.1865981552,655.6660794530717
GSM1602873,1770.881598968365,1512.5618278213988,865.4171349289909,989.9816931387268,422.2820457079788
GSM1602874,1614.3930937976093,1622.434683633639,726.0493970824982,752.8453284803718,764.2670847523459
GSM1602875,1584.7248176165776,1576.2835528524347,762.627631467929,658.2632472448067,789.8089418328473
GSM1602876,1604.9075238121522,1609.0787655647682,769.7452189012301,717.0305555749273,682.8605088589829
GSM1602877,1747.792644646107,1618.5185364622175,782.3213870112404,864.6482578317255,718.9399691771259
GSM1602878,1850.5738185130367,1657.7207536988108,846.8890814267306,1000.077509097102,463.69150417903984
GSM1602879,1679.8009041800387,1534.861197206567,831.7313412123385,978.8113963050192,260.7474355377317
GSM1602880,1684.0251631402543,1407.606330961481,888.6425395834995,833.4532292615977,370.1546860189847
GSM1602881,1700.5728215364215,1634.91942254866,814.6014322489345,885.63851059646,567.8141107607089
GSM1602882,1797.2460356090496,1553.6619780460887,921.050595777062,882.8740629693293,665.8116713578702
GSM1602883,1767.749690111641,1599.3317499435816,900.6988756573346,855.8045162361004,746.5526712265073
GSM1602884,1641.54338726246,1618.8509258185077,758.2711032022298,690.6319581382322,710.8183243830617
GSM1602885,1796.1920189682623,1494.4664694177154,908.6414710926584,913.4064549612384,633.3081134039885
GSM1602886,1797.5541538354792,1667.51008069428,938.09740496817,964.7222081032704,419.3499632077337
GSM1602887,1755.3079905090244,1628.4330282837773,858.7162460128175,970.8489251806412,494.41339554188016
GSM1602888,1696.0391398888987,1653.6335146933025,755.6338703336287,849.3190322081427,611.73151647135
GSM1602889,1701.4097914588392,1499.8026813584493,953.9539908262296,785.9835509928262,617.6761829426041
GSM1602890,1726.5049753737549,1562.5174124400855,909.6204553198996,840.6938686798394,747.8146769397526
GSM1602891,1650.9267296908238,1598.0324038300432,759.2220842868583,751.854576570252,656.294321904481
GSM1602892,1719.283231674839,1542.7181765009109,783.2447234867468,759.3337371753314,583.2792297296492
GSM1602893,1716.379306762435,1591.57931299774,787.1754737762421,776.2532363038827,621.4276491332585
GSM1602894,1567.0338192829531,1609.8708929677578,691.8497068248907,666.451155712065,778.5581985800527
GSM1602895,1640.6817747612422,1502.43966680641,823.1410298314313,633.306562346148,635.5531556235092
GSM1602896,1567.3220333112668,1577.0417218632138,801.5463090429503,662.6315287852831,731.0123274401067
GSM1602897,1593.787950999419,1620.5544724026097,684.5317168378888,704.4794622968257,792.9865034148752
GSM1602898,1687.9889685081653,1702.7495239599757,788.0320499458921,849.8382508700397,643.7978899199634
GSM1602899,1620.796422542,1643.35327989492,757.9624278480651,753.9026467853218,751.1719351098554
GSM1602900,1619.0682104688149,1597.483507604673,696.7879582421983,695.908566313341,730.6577510836278
GSM1602901,1665.4523333871612,1634.224857302975,760.3997134625351,780.0465675314726,725.7508387514481
