dataset_id,name,chinese_name,disease_type,expected_strategy,expected_systems,description,platform,n_samples,pub_date,gdstype
GSE305165,Redefining the Spectrum of EBV-Positive Diffuse Large B-Cell Lymphoma and EBV-Po,Redefining the Spectrum of EBV-Positive ,cancer,subtype_comparison,"['System A', 'System B']",Epstein–Barr virus-positive (EBV+) diffuse large B-cell lymphoma (DLBCL) and EBV+ classic Hodgkin lymphoma (CHL) are maj,23159,47,,Expression profiling by array
GSE281597,The transcriptional profile of extracellular vesicles extracted from cerebrospin,The transcriptional profile of extracell,neurodegenerative,case_control,"['System D', 'System A']",Extracellular vesicles (EVs) play a role in intercellular communication by transferring proteins and/or transcripts.  Th,24539,40,,Expression profiling by array
GSE313108,Sentinel flaps recapitulate key inflammatory aspects of human face transplant re,Sentinel flaps recapitulate key inflamma,cancer,subtype_comparison,"['System A', 'System B']","Sentinel flaps are used for remote-site monitoring in vascularized composite allotransplantation (VCA), but their molecu",32232,28,,Expression profiling by array
GSE305935,Immune transcriptomic changes in Australian Gulf War Veterans,Immune transcriptomic changes in Austral,other,case_control,"['System A', 'System B']",Immune transcriptomic changes in Australian Gulf War Veterans,33412,35,,Expression profiling by array
GSE290333,Whole transcriptome analysis of peripheral blood mononuclear cells from de novo ,Whole transcriptome analysis of peripher,neurodegenerative,case_control,"['System D', 'System A']",This study investigated gene expression differences in Parkinson’s disease (PD) using blood samples from 23 newly diagno,23159,38,,Expression profiling by array
GSE300468,A Stem and Progenitor Cell-Derived Gene Expression Signature is Prognostic for S,A Stem and Progenitor Cell-Derived Gene ,respiratory,case_control,"['System B', 'System C']",We hypothesized that transcriptomic features among disease-driving hematopoietic stem and progenitor cells (HSPC) could ,35963,342,,Expression profiling by array
GSE311496,Investigating conjunctival immune pathways in Sjögren and non-Sjögren disease as,Investigating conjunctival immune pathwa,other,case_control,"['System A', 'System B']",This study aimed to investigate changes in immune related genes on the ocular surface of patients with different diagnos,32993,37,,Expression profiling by array
GSE287880,Latent MicroRNA Networks in Asthma Endotypes [NS_H_miR_v3a],Latent MicroRNA Networks in Asthma Endot,respiratory,case_control,"['System B', 'System C']",Transcriptome analysis of whole blood from subjects with asthma and controls The presence or absence of type 2 inflammat,35323,108,,Expression profiling by array
GSE287879,Latent MicroRNA Networks in Asthma Endotypes [HuGene-1_0],Latent MicroRNA Networks in Asthma Endot,respiratory,case_control,"['System B', 'System C']",Transcriptome analysis of whole blood from subjects with asthma and controls The presence or absence of type 2 inflammat,6244,108,,Expression profiling by array
GSE249451,"Biopsy And Blood Gene Expression Distinguish Injury, Subclinical and Clinical Re",Biopsy And Blood Gene Expression Disting,metabolic,case_control,"['System C', 'System D']","Short-term kidney transplant rejection rates have vastly improved. Unfortunately, the focus is still on clinical acute r",33988,573,,Expression profiling by array
GSE254001,NFATc1 and NFATc2 control glucocorticoid resistance in pediatric T-cell acute ly,NFATc1 and NFATc2 control glucocorticoid,cancer,subtype_comparison,"['System A', 'System B']",This SuperSeries is composed of the SubSeries listed below.,23159,42,,Expression profiling by array
GSE308518,Evaluation of 5-aminolevulinic acid-mediated radiodynamic therapy after single-d,Evaluation of 5-aminolevulinic acid-medi,cancer,subtype_comparison,"['System A', 'System B']",We investigated changes in gene expression in HT-29 human colon carcinoma xenografts in nude mice after single-dose X-ra,4133,20,,Expression profiling by array
GSE309828,Expression data from lesions and non-lesions before and after treatment in patie,Expression data from lesions and non-les,other,case_control,"['System A', 'System B']",Individual differences in treatment response remain an unmet need. This study aimed to identify biomarkers that can eval,16686,24,,Expression profiling by array
GSE123551,Side-population trophoblasts from normal and abnormal pregnancies,Side-population trophoblasts from normal,other,case_control,"['System A', 'System B']",Gene expression microarrays investigating the transcriptome of matched populations of human side-population trophoblasts,16043,20,,Expression profiling by array
GSE281841,Gene expression data from patients with peripheral arterial disease stenosis gra,Gene expression data from patients with ,other,case_control,"['System A', 'System B']",Human PAD arteries were obtained from patients undergoing amputation. This is an extension of a previously published dat,96,41,,Expression profiling by array
GSE272769,Whole blood transcriptomic profiling identifies expression signatures for sepsis,Whole blood transcriptomic profiling ide,neurodegenerative,case_control,"['System D', 'System A']",Sepsis is the leading cause of death in U.S. hospitals and affects nearly 50 million people globally per year. Sepsis is,17692,161,,Expression profiling by array
GSE282291,Exercise Training-induced Extracellular miR-136-3p Modulates Glucose Uptake and ,Exercise Training-induced Extracellular ,other,case_control,"['System A', 'System B']","We identified several exercise training-responsive miRNAs within exosome-rich EVs in serum, including miR-136-3p. In hum",23126,24,,Expression profiling by array
GSE216724,Colon Cancer Patient-Derived Spheroids and their Stem Cell-Intrinsic mRNA Expres,Colon Cancer Patient-Derived Spheroids a,cancer,subtype_comparison,"['System A', 'System B']",We characterized colorectal cancer stem cell (CRC-SC)-intrinsic subtypes based on mRNA expression of 57 patient-derived ,21185,64,,Expression profiling by array
GSE186544,Transcriptomic analyses of hMADS cells depleted for hormone-sensitive lipase,Transcriptomic analyses of hMADS cells d,other,case_control,"['System A', 'System B']",Hormone-sensitive lipase HSL is a major metabolic enzyme of adipocyte as the rate limiting enzyme of lipolysis. Recently,21185,22,,Expression profiling by array
GSE183844,Loss of FBXO11 establishes a stem cell program in acute myeloid leukemia by dysr,Loss of FBXO11 establishes a stem cell p,cancer,subtype_comparison,"['System A', 'System B']",Acute myeloid leukemia (AML) is an aggressive cancer with very poor outcomes. To identify additional drivers of leukemog,17586;20795,32,,Expression profiling by array; Expression profiling by high throughput sequencing
GSE236055,Colonic mucosal gene expression profile associated with neoplastic progression i,Colonic mucosal gene expression profile ,cancer,subtype_comparison,"['System A', 'System B']",Introduction: Many gene expression studies of colitis-associated colorectal cancer (CA-CRC) in patients with ulcerative ,21185,143,,Expression profiling by array
GSE299224,Differentially manufactured Arnica montana L. extracts mediate anti-inflammatory,Differentially manufactured Arnica monta,other,case_control,"['System A', 'System B']","In this study, differentially prepared Arnica extracts and the lead compounds Thymol and Helenalin were directly compare",32993,45,,Expression profiling by array
