Sample_ID,Subject_ID,Condition,Group,System_A,System_B,System_C,System_D,System_E,Top_System,Top_System_Score,Second_System,Second_System_Score,System_C_Rank,Top_Subcategory,Top_Subcategory_Score,A4_Score,A4_Rank,C1_Score,C2_Score,C3_Score,C1_Rank,C2_Rank,C3_Rank,A_minus_C,A_minus_B,B_minus_C
GSM532833,Subject_15,Diabetes,Diabetes,0.2726268857037401,0.2415928675701716,0.2340320898437762,0.2301133232241231,0.2318134660790514,A,0.2726268857037401,B,0.2415928675701716,3,A4,0.3286309186580847,0.3286309186580847,1,0.2435806636318593,0.2055506117020218,0.2529649941974475,6,14,4,0.03859479585996392,0.031034018133568514,0.007560777726395407
GSM532834,Subject_16,Diabetes,Diabetes,0.2900602516289027,0.2618026438399473,0.2515840358180929,0.2485951968496754,0.2500712346497002,A,0.2900602516289027,B,0.2618026438399473,3,A4,0.3419305650339671,0.3419305650339671,1,0.2587620931313216,0.2262173412911301,0.2697726730318269,8,14,4,0.03847621581080979,0.02825760778895542,0.01021860802185437
GSM532835,Subject_17,Diabetes,Diabetes,0.2904136630749641,0.2623300064155437,0.252079032328787,0.2492038714598003,0.2507355550179319,A,0.2904136630749641,B,0.2623300064155437,3,A4,0.3422757106066394,0.3422757106066394,1,0.2602884846445213,0.2253598452839849,0.2705887670578547,8,14,4,0.0383346307461771,0.028083656659420364,0.010250974086756737
GSM532836,Subject_18,Diabetes,Diabetes,0.2909151963300684,0.2627153449774545,0.2527456540678899,0.2498687321145845,0.2511365619635359,A,0.2909151963300684,B,0.2627153449774545,3,A4,0.3422820793391483,0.3422820793391483,1,0.2604476417463874,0.2262206679575556,0.2715686524997265,8,14,4,0.0381695422621785,0.02819985135261388,0.009969690909564621
GSM532837,Subject_19,Diabetes,Diabetes,0.2903592242736646,0.2625434602154019,0.2520578883655437,0.2493155067708505,0.2507158206780038,A,0.2903592242736646,B,0.2625434602154019,3,A4,0.3417437057255149,0.3417437057255149,1,0.2593280545223907,0.2266139110576646,0.2702316995165757,8,14,4,0.038301335908120904,0.027815764058262693,0.01048557184985821
GSM532838,Subject_20,Diabetes,Diabetes,0.2912528294151804,0.2631141137224593,0.2531916022011135,0.2502115158885985,0.2518215697020981,A,0.2912528294151804,B,0.2631141137224593,3,A4,0.3429009325976769,0.3429009325976769,1,0.2613969222353443,0.226571413497545,0.2716064708704511,7,14,4,0.038061227214066906,0.028138715692721084,0.009922511521345823
GSM532839,Subject_21,Diabetes,Diabetes,0.2913195687014159,0.2629470009362351,0.2529019114280291,0.2499984207086421,0.2515788255299508,A,0.2913195687014159,B,0.2629470009362351,3,A4,0.34375640666795,0.34375640666795,1,0.2607207959164054,0.2261669767864525,0.2718179615812294,8,14,4,0.03841765727338681,0.028372567765180823,0.010045089508205984
GSM532840,Subject_22,Diabetes,Diabetes,0.2900982098640154,0.2618987704389575,0.2516966010775052,0.248773726896239,0.2503991779052877,A,0.2900982098640154,B,0.2618987704389575,3,A4,0.3419813381485778,0.3419813381485778,1,0.2592847205635532,0.2254997617124033,0.2703053209565591,8,14,4,0.03840160878651022,0.028199439425057926,0.010202169361452296
GSM532841,Subject_23,Diabetes,Diabetes,0.2907650672150172,0.262750731288127,0.2521585718798041,0.2496150991671156,0.2509680156406071,A,0.2907650672150172,B,0.262750731288127,3,A4,0.3422118073338378,0.3422118073338378,1,0.2595768943632479,0.2259644047202297,0.2709344165559348,8,14,4,0.0386064953352131,0.028014335926890233,0.010592159408322865
GSM532842,Subject_24,Diabetes,Diabetes,0.272077793489462,0.2412460510976131,0.233390112367969,0.2297804455025767,0.2312153285013665,A,0.272077793489462,B,0.2412460510976131,3,A4,0.327479849299161,0.327479849299161,1,0.2423167632916436,0.2051576714863165,0.2526959023259471,6,14,4,0.038687681121492984,0.030831742391848882,0.007855938729644102
