gene,pc1_loading,abs_loading
SH3BGR,0.013505101242319632,0.013505101242319632
SLC6A16,0.013504883171622309,0.013504883171622309
SPRR1A,0.013503432335861923,0.013503432335861923
NPR1,0.013499456961974354,0.013499456961974354
SCN4B,0.013497634820689582,0.013497634820689582
SLC27A4,0.013493774155836231,0.013493774155836231
CCDC36,0.013492751552297367,0.013492751552297367
C21orf45,0.01348327077682739,0.01348327077682739
PFDN2,0.013482341518470452,0.013482341518470452
LOC200420,0.013481979022707083,0.013481979022707083
FBXL7,0.013481411688384022,0.013481411688384022
TBXA2R,0.013481151217452633,0.013481151217452633
ABHD7,0.013479903896084092,0.013479903896084092
AQP3,0.01347857188985989,0.01347857188985989
COL11A2,0.013472786370923884,0.013472786370923884
ITSN2,0.013471585277976476,0.013471585277976476
OR2AK2,0.013464910176818298,0.013464910176818298
CCDC69,0.013460802969594059,0.013460802969594059
FPGS,0.013459569562210713,0.013459569562210713
UXS1,0.01345550704352213,0.01345550704352213
CXCL3,0.01345263958582912,0.01345263958582912
GPSM1,0.013452472821104393,0.013452472821104393
WFDC8,0.013451415463811116,0.013451415463811116
PKIG,0.013449744242251198,0.013449744242251198
MMAA,0.01344836465391296,0.01344836465391296
LOC201181,0.01344683177072427,0.01344683177072427
LOC389118,0.013446255573872823,0.013446255573872823
BDNF,0.013443762588323614,0.013443762588323614
INHBE,0.013442252408676629,0.013442252408676629
RNF186,0.013439764206950195,0.013439764206950195
ACBD4,0.013439477832011918,0.013439477832011918
TMPRSS3,0.013436427441723325,0.013436427441723325
VMD2L1,0.013431410847879594,0.013431410847879594
MYEF2,0.013424992256728299,0.013424992256728299
RAD54L,0.013424981289500386,0.013424981289500386
BDH,0.013424946479033636,0.013424946479033636
PSMC3IP,-0.013412373221625543,0.013412373221625543
AOC3,0.013409701448819306,0.013409701448819306
DSG1,0.013407242566764701,0.013407242566764701
DKFZP686A10121,0.013404441170945872,0.013404441170945872
LY6G6C,0.013400291807098662,0.013400291807098662
PCYT2,0.01339848631976066,0.01339848631976066
LGALS7,0.013397760651935996,0.013397760651935996
BCL2L2,0.013392235760776224,0.013392235760776224
LOC729440,0.013391764588932088,0.013391764588932088
SPFH1,0.013391456328214871,0.013391456328214871
HES2,0.013389369284659853,0.013389369284659853
ZNF665,0.013383794924859799,0.013383794924859799
TRAIP,0.01338232772159598,0.01338232772159598
KIAA1946,0.013380499989207489,0.013380499989207489
FOXD4L3,0.013377866944395285,0.013377866944395285
KIAA0523,0.01337780281422838,0.01337780281422838
PPAP2C,0.013377043011621046,0.013377043011621046
NCR1,0.013376034889074483,0.013376034889074483
PLXND1,0.013375789786367519,0.013375789786367519
ECAT11,0.013373762440851483,0.013373762440851483
MECP2,-0.013373067872309106,0.013373067872309106
C20orf28,0.013370739687580065,0.013370739687580065
AVPR1B,0.013369159281359101,0.013369159281359101
PPP5C,0.013366872894753037,0.013366872894753037
NUFIP1,0.013364531508976835,0.013364531508976835
OR1L6,0.013362281349536053,0.013362281349536053
MGC2408,0.01335971557035448,0.01335971557035448
MYEOV2,0.013358479597268987,0.013358479597268987
TLK1,0.01335242747627776,0.01335242747627776
TMCC3,0.01335059672169681,0.01335059672169681
ADRA2B,0.013348548884245777,0.013348548884245777
EMP2,0.013344913062698685,0.013344913062698685
CA13,0.01334403237666662,0.01334403237666662
ZNF526,0.013342309343753718,0.013342309343753718
